Objects
100
,,Global Angle UAV_6_4:UAV_6_4,,,,,,Global Angle pendulum:pendulum,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
108,0,2.79966,1.4298,-0.0573244,102.117,-109.554,923.03,,,,,,
109,0,2.7997,1.42972,-0.057218,101.712,-109.605,922.835,,,,,,
110,0,2.80048,1.42945,-0.0546878,101.257,-109.651,922.644,,,,,,
111,0,2.80074,1.42897,-0.0553666,100.815,-109.673,922.541,,,,,,
112,0,2.80084,1.42844,-0.0546061,100.356,-109.668,922.344,,,,,,
113,0,2.80082,1.42803,-0.054457,99.9275,-109.552,922.197,,,,,,
114,0,2.8008,1.42826,-0.0533722,99.4324,-109.494,922.079,,,,,,
115,0,2.80112,1.42733,-0.0536231,99.0033,-109.48,921.908,,,,,,
116,0,2.80266,1.42779,-0.0523363,98.5526,-109.551,921.661,,,,,,
117,0,2.80229,1.42715,-0.0530575,98.1262,-109.472,921.586,,,,,,
118,0,2.80294,1.42748,-0.0518964,97.6666,-109.581,921.233,,,,,,
119,0,2.80306,1.42622,-0.0518874,97.227,-109.529,921.141,,,,,,
120,0,2.80336,1.42739,-0.0506324,96.8117,-109.638,920.844,,,,,,
121,0,2.80368,1.42686,-0.0513287,96.3086,-109.501,920.788,,,,,,
122,0,2.80311,1.42655,-0.0509317,95.9428,-109.591,920.546,,,,,,
123,0,2.80432,1.42656,-0.0511659,95.4929,-109.534,920.445,,,,,,
124,0,2.80261,1.4251,-0.0507033,95.0653,-109.479,920.374,,,,,,
125,0,2.80191,1.42362,-0.0509675,94.6942,-109.549,920.095,,,,,,
126,0,2.80211,1.42381,-0.0511291,94.2739,-109.591,919.956,,,,,,
127,0,2.80257,1.4235,-0.0518573,93.9119,-109.556,919.742,,,,,,
128,0,2.80307,1.42413,-0.0517849,93.5651,-109.486,919.612,,,,,,
129,0,2.80468,1.42498,-0.0512191,93.1476,-109.412,919.579,,,,,,
130,0,2.80431,1.42365,-0.0547195,92.807,-109.423,919.367,,,,,,
131,0,2.80462,1.42308,-0.055356,92.3963,-109.391,919.106,,,,,,
132,0,2.80413,1.42254,-0.0551072,92.0029,-109.411,918.956,,,,,,
133,0,2.80556,1.42324,-0.0554518,91.6181,-109.238,918.865,,,,,,
134,0,2.80577,1.42282,-0.0565558,91.1944,-109.231,918.641,,,,,,
135,0,2.80465,1.42303,-0.0574191,90.8407,-109.217,918.455,,,,,,
136,0,2.80424,1.42153,-0.0605764,90.4879,-109.308,918.093,,,,,,
137,0,2.80507,1.42421,-0.0572299,90.0787,-109.242,917.988,,,,,,
138,0,2.80337,1.42101,-0.0596379,89.5883,-109.206,917.873,,,,,,
139,0,2.80326,1.4207,-0.0598276,89.1607,-109.185,917.666,,,,,,
140,0,2.80534,1.42262,-0.0592591,88.8064,-109.226,917.248,,,,,,
141,0,2.80522,1.42216,-0.0599049,88.4064,-109.299,917.097,,,,,,
142,0,2.80597,1.42144,-0.0593688,87.9949,-109.31,916.915,,,,,,
143,0,2.80565,1.42074,-0.0581474,87.5704,-109.34,916.734,,,,,,
144,0,2.80503,1.41919,-0.0570561,87.1331,-109.379,916.624,,,,,,
145,0,2.80524,1.41985,-0.0548783,86.8016,-109.362,916.422,,,,,,
146,0,2.8048,1.41942,-0.0562635,86.3616,-109.318,916.151,,,,,,
147,0,2.80562,1.41951,-0.0582499,85.9643,-109.371,915.849,,,,,,
148,0,2.80661,1.41958,-0.0561533,85.6138,-109.278,915.693,,,,,,
149,0,2.80589,1.41907,-0.0560024,85.2418,-109.256,915.403,,,,,,
150,0,2.8061,1.418,-0.057065,84.873,-109.33,915.182,,,,,,
151,0,2.80574,1.41756,-0.0571321,84.537,-109.314,914.929,,,,,,
152,0,2.80548,1.41649,-0.0572383,84.1133,-109.216,914.81,,,,,,
153,0,2.80479,1.4162,-0.0585685,83.6754,-109.223,914.545,,,,,,
154,0,2.8055,1.41667,-0.0582396,83.3752,-109.321,914.261,,,,,,
155,0,2.80543,1.41669,-0.0583489,83.072,-109.279,914.029,,,,,,
156,0,2.8035,1.4152,-0.0611176,82.7374,-109.156,913.928,,,,,,
157,0,2.8054,1.41602,-0.0637249,82.5794,-109.263,913.435,,,,,,
158,0,2.80485,1.41559,-0.0656352,82.2753,-109.216,913.367,,,,,,
159,0,2.80559,1.41496,-0.0664875,81.9872,-109.26,913.082,,,,,,
160,0,2.80524,1.41554,-0.065947,81.6656,-109.28,912.818,,,,,,
161,0,2.80653,1.41527,-0.0651154,81.3226,-109.264,912.611,,,,,,
162,0,2.80624,1.41483,-0.065013,80.9468,-109.396,912.301,,,,,,
163,0,2.80848,1.41553,-0.0653449,80.6826,-109.446,911.954,,,,,,
164,0,2.80649,1.41443,-0.0642561,80.2757,-109.436,911.8,,,,,,
165,0,2.8064,1.41417,-0.0643971,79.9658,-109.41,911.477,,,,,,
166,0,2.80723,1.41403,-0.064588,79.6517,-109.429,911.229,,,,,,
167,0,2.80801,1.41406,-0.0659508,79.408,-109.419,910.91,,,,,,
168,0,2.80719,1.41466,-0.0645932,78.9798,-109.381,910.713,,,,,,
169,0,2.80773,1.41485,-0.0624942,78.6875,-109.494,910.523,,,,,,
170,0,2.80835,1.41454,-0.0633571,78.4178,-109.508,910.44,,,,,,
171,0,2.80836,1.41458,-0.0627559,78.1917,-109.498,910.287,,,,,,
172,0,2.81051,1.4127,-0.0659009,77.9504,-109.581,909.958,,,,,,
173,0,2.80839,1.41278,-0.0626793,77.6193,-109.406,909.97,,,,,,
174,0,2.80933,1.41301,-0.0628881,77.3474,-109.437,909.742,,,,,,
175,0,2.811,1.41438,-0.0654345,77.1975,-109.374,909.435,,,,,,
176,0,2.80991,1.41288,-0.0636988,76.8861,-109.374,909.256,,,,,,
177,0,2.81037,1.41376,-0.061758,76.6973,-109.347,909.157,,,,,,
178,0,2.81027,1.41349,-0.0629739,76.5339,-109.332,908.928,,,,,,
179,0,2.81064,1.41268,-0.0625576,76.2711,-109.368,908.695,,,,,,
180,0,2.81098,1.4131,-0.0613794,75.9763,-109.336,908.489,,,,,,
181,0,2.8124,1.41303,-0.064584,75.7776,-109.408,908.057,,,,,,
182,0,2.81287,1.41342,-0.0641566,75.5399,-109.448,907.898,,,,,,
183,0,2.81321,1.41292,-0.0624332,75.2997,-109.507,907.714,,,,,,
184,0,2.81341,1.41269,-0.06223,75.0499,-109.518,907.58,,,,,,
185,0,2.81285,1.41141,-0.0612233,74.7794,-109.574,907.361,,,,,,
186,0,2.81254,1.41204,-0.0609273,74.5853,-109.415,907.212,,,,,,
187,0,2.81126,1.41031,-0.0587953,74.2989,-109.358,907.156,,,,,,
188,0,2.81053,1.41082,-0.0589627,74.1123,-109.298,907.003,,,,,,
189,0,2.8102,1.41045,-0.0600394,73.911,-109.182,906.83,,,,,,
190,0,2.81027,1.41009,-0.060748,73.7358,-109.136,906.707,,,,,,
191,0,2.80984,1.40935,-0.0615962,73.6448,-109.129,906.552,,,,,,
192,0,2.81071,1.40917,-0.0606868,73.4626,-109.163,906.349,,,,,,
193,0,2.8098,1.40848,-0.0612447,73.2674,-109.07,906.244,,,,,,
194,0,2.80983,1.40734,-0.0623687,73.0949,-108.998,906.068,,,,,,
195,0,2.81043,1.40647,-0.0623194,72.873,-108.944,905.826,,,,,,
196,0,2.81173,1.40711,-0.0628738,72.7942,-108.886,905.704,,,,,,
197,0,2.81061,1.40625,-0.062837,72.5749,-108.775,905.609,,,,,,
198,0,2.81037,1.40582,-0.0634032,72.4567,-108.722,905.465,,,,,,
199,0,2.81016,1.40622,-0.0624745,72.3248,-108.635,905.337,,,,,,
200,0,2.81036,1.40651,-0.0628614,72.1296,-108.689,905.199,,,,,,
201,0,2.81083,1.40671,-0.0640273,72.0101,-108.647,905.056,,,,,,
202,0,2.81133,1.40616,-0.0625427,71.8694,-108.636,904.941,,,,,,
203,0,2.81101,1.40657,-0.0617423,71.7481,-108.599,904.909,,,,,,
204,0,2.81099,1.40581,-0.0620535,71.618,-108.556,904.851,,,,,,
205,0,2.81217,1.40432,-0.0639284,71.5424,-108.636,904.712,,,,,,
206,0,2.81179,1.40431,-0.0617553,71.3432,-108.541,904.672,,,,,,
207,0,2.81139,1.40472,-0.0621165,71.2472,-108.474,904.592,,,,,,
208,0,2.81145,1.40418,-0.0627768,71.1392,-108.461,904.521,,,,,,
209,0,2.81137,1.40448,-0.0623401,71.0484,-108.406,904.451,,,,,,
210,0,2.81128,1.40359,-0.0624038,70.9349,-108.292,904.394,,,,,,
211,0,2.81145,1.40241,-0.0620491,70.8147,-108.263,904.309,,,,,,
212,0,2.81129,1.40154,-0.0620257,70.6929,-108.181,904.326,,,,,,
213,0,2.81099,1.40045,-0.0614295,70.5273,-108.106,904.262,,,,,,
214,0,2.81067,1.40033,-0.0606024,70.3882,-108.038,904.223,,,,,,
215,0,2.81166,1.40106,-0.0609537,70.3335,-107.988,904.051,,,,,,
216,0,2.81154,1.39986,-0.062382,70.2596,-107.99,903.941,,,,,,
217,0,2.81252,1.40036,-0.0606606,70.2127,-107.975,903.838,,,,,,
218,0,2.81237,1.3997,-0.0587894,70.0355,-107.782,904.02,,,,,,
219,0,2.81377,1.39988,-0.0573963,69.9602,-107.835,903.939,,,,,,
220,0,2.81153,1.39869,-0.0571196,69.8368,-107.738,904.017,,,,,,
221,0,2.81335,1.39884,-0.0597105,69.8264,-107.718,903.862,,,,,,
222,0,2.81373,1.40052,-0.0558043,69.7379,-107.663,903.873,,,,,,
223,0,2.81312,1.39879,-0.058189,69.6449,-107.625,903.846,,,,,,
224,0,2.8128,1.39838,-0.0544797,69.4663,-107.523,903.988,,,,,,
225,0,2.81293,1.39933,-0.0532816,69.3974,-107.541,903.917,,,,,,
226,0,2.81227,1.39831,-0.0542084,69.263,-107.393,903.952,,,,,,
227,0,2.81337,1.3993,-0.0549966,69.2379,-107.306,903.862,,,,,,
228,0,2.81368,1.399,-0.0550184,69.127,-107.162,903.836,,,,,,
229,0,2.81312,1.39814,-0.0558746,69.0235,-106.95,903.862,,,,,,
230,0,2.81288,1.39824,-0.0539737,68.9063,-106.92,903.818,,,,,,
231,0,2.81241,1.39765,-0.0532006,68.8128,-106.877,903.791,,,,,,
232,0,2.81254,1.39732,-0.0534895,68.7006,-106.795,903.751,,,,,,
233,0,2.8122,1.39659,-0.0534046,68.5802,-106.619,903.696,,,,,,
234,0,2.81271,1.3961,-0.0532276,68.4714,-106.565,903.695,,,,,,
235,0,2.81297,1.39615,-0.0530494,68.381,-106.414,903.663,,,,,,
236,0,2.81373,1.39633,-0.0529391,68.2737,-106.346,903.705,,,,,,
237,0,2.81348,1.39596,-0.0531522,68.1687,-106.257,903.688,,,,,,
238,0,2.81244,1.39491,-0.0515697,68.0038,-106.166,903.726,,,,,,
239,0,2.81282,1.39534,-0.0511074,67.8993,-106.025,903.713,,,,,,
240,0,2.81271,1.39539,-0.050972,67.7803,-105.909,903.684,,,,,,
241,0,2.81264,1.39549,-0.0508219,67.6775,-105.778,903.677,,,,,,
242,0,2.81253,1.39575,-0.0505925,67.5198,-105.731,903.64,,,,,,
243,0,2.81282,1.39505,-0.0523561,67.4765,-105.666,903.569,,,,,,
244,0,2.81299,1.39551,-0.0511275,67.2961,-105.5,903.656,,,,,,
245,0,2.8132,1.39568,-0.0516084,67.17,-105.385,903.581,,,,,,
246,0,2.8132,1.39566,-0.0517897,66.9965,-105.17,903.585,,,,,,
247,0,2.81331,1.39525,-0.0519146,66.8657,-105.02,903.597,,,,,,
248,0,2.81376,1.395,-0.0511005,66.6803,-104.944,903.57,,,,,,
249,0,2.81449,1.39441,-0.0512193,66.6136,-104.885,903.404,,,,,,
250,0,2.81431,1.39338,-0.0516008,66.4022,-104.686,903.563,,,,,,
251,0,2.81427,1.3934,-0.0512375,66.2089,-104.548,903.459,,,,,,
252,0,2.81461,1.39342,-0.0510512,65.9913,-104.412,903.446,,,,,,
253,0,2.81516,1.39299,-0.0521731,65.8774,-104.254,903.328,,,,,,
254,0,2.81524,1.3935,-0.0505406,65.7225,-104.245,903.194,,,,,,
255,0,2.81505,1.39393,-0.0481501,65.5084,-104.074,903.227,,,,,,
256,0,2.8151,1.39401,-0.0475815,65.313,-103.944,903.102,,,,,,
257,0,2.81615,1.39425,-0.0480093,65.1242,-103.749,903.019,,,,,,
258,0,2.81491,1.39408,-0.0481102,64.9514,-103.652,902.816,,,,,,
259,0,2.81503,1.39411,-0.04857,64.7205,-103.506,902.695,,,,,,
260,0,2.81535,1.39395,-0.0478169,64.4899,-103.357,902.651,,,,,,
261,0,2.81725,1.39299,-0.0461832,64.3566,-103.267,902.599,,,,,,
262,0,2.81479,1.39274,-0.0470769,64.0706,-103.222,902.324,,,,,,
263,0,2.81524,1.39262,-0.0466745,63.8764,-103.034,902.177,,,,,,
264,0,2.81525,1.39301,-0.0450748,63.6549,-102.908,902.11,,,,,,
265,0,2.81514,1.39269,-0.0454208,63.4518,-102.775,902.018,,,,,,
266,0,2.81466,1.39313,-0.0453111,63.2544,-102.632,901.976,,,,,,
267,0,2.81523,1.39335,-0.0452031,63.0145,-102.691,901.814,,,,,,
268,0,2.81651,1.393,-0.0455342,62.7756,-102.601,901.706,,,,,,
269,0,2.81764,1.39305,-0.0455226,62.5604,-102.505,901.569,,,,,,
270,0,2.81844,1.39357,-0.0463064,62.3442,-102.386,901.467,,,,,,
271,0,2.81842,1.39272,-0.0467018,62.1509,-102.317,901.201,,,,,,
272,0,2.81909,1.39311,-0.0475243,61.9624,-102.16,901.044,,,,,,
273,0,2.81844,1.39254,-0.0483759,61.7504,-102.045,900.913,,,,,,
274,0,2.81816,1.39241,-0.0497041,61.5852,-101.85,900.797,,,,,,
275,0,2.81864,1.3935,-0.0501475,61.394,-101.746,900.564,,,,,,
276,0,2.81797,1.39356,-0.0520524,61.1584,-101.573,900.419,,,,,,
277,0,2.81912,1.39293,-0.0518693,60.9166,-101.512,900.239,,,,,,
278,0,2.81957,1.39338,-0.0504389,60.6893,-101.394,899.992,,,,,,
279,0,2.81945,1.39322,-0.0514846,60.4056,-101.273,899.865,,,,,,
280,0,2.8204,1.39139,-0.052295,60.0846,-101.189,899.807,,,,,,
281,0,2.81969,1.39101,-0.051673,59.7843,-101.073,899.556,,,,,,
282,0,2.821,1.39219,-0.0497359,59.5119,-101.082,899.241,,,,,,
283,0,2.81982,1.39162,-0.0502951,59.1718,-100.905,899.059,,,,,,
284,0,2.82162,1.39324,-0.0511108,58.9974,-100.919,898.809,,,,,,
285,0,2.82004,1.39262,-0.0518831,58.7815,-100.841,898.649,,,,,,
286,0,2.82076,1.39236,-0.0522819,58.5321,-100.74,898.526,,,,,,
287,0,2.82234,1.39179,-0.0526769,58.3073,-100.812,898.27,,,,,,
288,0,2.82131,1.39179,-0.0535578,58.0493,-100.571,898.161,,,,,,
289,0,2.82061,1.3921,-0.0530914,57.7428,-100.661,897.975,,,,,,
290,0,2.82136,1.39256,-0.0560743,57.514,-100.517,897.762,,,,,,
291,0,2.82184,1.39287,-0.055824,57.3345,-100.468,897.566,,,,,,
292,0,2.82236,1.39313,-0.0568716,57.1511,-100.456,897.343,,,,,,
293,0,2.82178,1.39192,-0.0577041,56.9216,-100.39,897.241,,,,,,
294,0,2.82144,1.39156,-0.0596209,56.705,-100.212,897.002,,,,,,
295,0,2.82173,1.39302,-0.0613711,56.5428,-100.113,896.723,,,,,,
296,0,2.82141,1.39271,-0.06096,56.2681,-100.019,896.587,,,,,,
297,0,2.82093,1.39317,-0.0608054,56.0259,-99.9656,896.332,,,,,,
298,0,2.82176,1.39254,-0.0611803,55.7914,-99.9341,896.156,,,,,,
299,0,2.82247,1.39315,-0.0616059,55.6103,-99.948,895.865,,,,,,
300,0,2.82321,1.39241,-0.0628551,55.4196,-99.8012,895.682,,,,,,
301,0,2.82218,1.39222,-0.0644922,55.2049,-99.7835,895.39,,,,,,
302,0,2.82172,1.39102,-0.0651255,55.0232,-99.5886,895.224,,,,,,
303,0,2.82214,1.39081,-0.0653455,54.8026,-99.507,895.051,,,,,,
304,0,2.82109,1.38981,-0.064819,54.5415,-99.4406,894.762,,,,,,
305,0,2.82178,1.38981,-0.0644901,54.2859,-99.4008,894.641,,,,,,
306,0,2.81925,1.38904,-0.0631839,53.983,-99.3135,894.571,,,,,,
307,0,2.81822,1.39223,-0.0626296,53.7741,-99.3236,894.471,,,,,,
308,0,2.8166,1.39312,-0.0636074,53.5052,-99.1633,894.529,,,,,,
309,0,2.81566,1.39577,-0.0648052,53.3761,-99.0474,894.635,,,,,,
310,0,2.81328,1.39853,-0.0668315,53.2328,-98.8227,894.939,,,,,,
311,0,2.81202,1.40237,-0.0710577,53.2379,-98.6131,895.152,,,,,,
312,0,2.80997,1.40562,-0.0715736,53.0864,-98.402,895.617,,,,,,
313,0,2.80786,1.40797,-0.0755311,53.1012,-98.1693,896.195,,,,,,
314,0,2.80443,1.41095,-0.0773681,52.935,-97.9261,896.949,,,,,,
315,0,2.80146,1.41379,-0.0778842,52.9148,-97.7403,897.709,,,,,,
316,0,2.80115,1.41743,-0.0774372,52.8191,-97.6615,898.571,,,,,,
317,0,2.79694,1.41858,-0.0794696,52.677,-97.3337,899.838,,,,,,
318,0,2.79511,1.42262,-0.0823176,52.6568,-97.1383,901.166,,,,,,
319,0,2.79488,1.42778,-0.0825268,52.7994,-97.1043,902.246,,,,,,
320,0,2.79391,1.43161,-0.0836321,52.8176,-96.8069,903.685,,,,,,
321,0,2.79123,1.4352,-0.0860516,52.8032,-96.575,905.225,,,,,,
322,0,2.7904,1.44055,-0.0853304,52.7889,-96.3817,907.018,,,,,,
323,0,2.78805,1.442,-0.0840487,52.8651,-96.1904,908.786,,,,,,
324,0,2.788,1.44798,-0.08482,52.864,-96.0234,910.634,,,,,,
325,0,2.78476,1.44943,-0.0845409,52.7595,-95.7737,912.807,,,,,,
326,0,2.78467,1.45449,-0.0833074,52.8989,-95.7225,914.578,,,,,,
327,0,2.78154,1.45696,-0.0832581,52.7626,-95.3362,916.968,,,,,,
328,0,2.77981,1.46019,-0.080966,52.7935,-95.2215,918.942,,,,,,
329,0,2.77703,1.4655,-0.079398,52.7233,-94.7249,921.395,,,,,,
330,0,2.77383,1.46789,-0.0781341,52.6929,-94.3623,923.707,,,,,,
331,0,2.77216,1.4721,-0.075656,52.5629,-94.1825,925.987,,,,,,
332,0,2.7698,1.4764,-0.0726503,52.6538,-93.8129,928.495,,,,,,
333,0,2.76692,1.47754,-0.0740207,52.5743,-93.5574,930.865,,,,,,
334,0,2.76556,1.48281,-0.0709532,52.6801,-93.2678,933.366,,,,,,
